# git_commit: 73db67d269db4b4de527d7d09f7f69fdcb408ae4
# recorded_at: 2026-09-20T05:32:30Z
# invariant_across: 21e5080 (PR #8, wuku-table-fix-20260919) — no name columns
POS|DEWATA_POS|LUANG|DWI|TRI|CAT|PAN|SAD|SAP|AST|SNG|DAS
0|1|T|Menga|1|1|1|1|1|1|1|1
1|2|F|Pepet|2|2|2|2|2|2|1|2
2|3|F|Pepet|3|3|3|3|3|3|1|3
3|4|F|Pepet|1|4|4|4|4|4|4|4
4|5|F|Pepet|2|1|5|5|5|5|5|5
5|6|F|Pepet|3|2|1|6|6|6|6|4
6|7|T|Menga|1|3|2|1|7|7|7|6
7|8|F|Pepet|2|4|3|2|1|8|8|7
8|9|T|Menga|3|1|4|3|2|1|9|8
9|10|T|Menga|1|2|5|4|3|2|1|9
10|11|T|Menga|2|3|1|5|4|3|2|6
11|12|F|Pepet|3|4|2|6|5|4|3|4
12|13|T|Menga|1|1|3|1|6|5|4|10
13|14|F|Pepet|2|2|4|2|7|6|5|3
14|15|T|Menga|3|3|5|3|1|7|6|10
15|16|F|Pepet|1|4|1|4|2|8|7|5
16|17|T|Menga|2|1|2|5|3|1|8|10
17|18|F|Pepet|3|2|3|6|4|2|9|2
18|19|T|Menga|1|3|4|1|5|3|1|6
19|20|F|Pepet|2|4|5|2|6|4|2|2
20|21|T|Menga|3|1|1|3|7|5|3|9
21|22|T|Menga|1|2|2|4|1|6|4|8
22|23|T|Menga|2|3|3|5|2|7|5|9
23|24|F|Pepet|3|4|4|6|3|8|6|2
24|25|T|Menga|1|1|5|1|4|1|7|8
25|26|F|Pepet|2|2|1|2|5|2|8|3
26|27|F|Pepet|3|3|2|3|6|3|9|5
27|28|F|Pepet|1|4|3|4|7|4|1|5
28|29|F|Pepet|2|1|4|5|1|5|2|5
29|30|F|Pepet|3|2|5|6|2|6|3|7
30|31|T|Menga|1|3|1|1|3|7|4|8
31|32|T|Menga|2|4|2|2|4|8|5|1
32|33|T|Menga|3|1|3|3|5|1|6|8
33|34|T|Menga|1|2|4|4|6|2|7|1
34|35|T|Menga|2|3|5|5|7|3|8|1
35|36|T|Menga|3|4|1|6|1|4|9|1
36|37|F|Pepet|1|1|2|1|2|5|1|2
37|38|F|Pepet|2|2|3|2|3|6|2|3
38|39|F|Pepet|3|3|4|3|4|7|3|4
39|40|F|Pepet|1|4|5|4|5|8|4|5
40|41|F|Pepet|2|1|1|5|6|1|5|4
41|42|T|Menga|3|2|2|6|7|2|6|6
42|43|F|Pepet|1|3|3|1|1|3|7|7
43|44|T|Menga|2|4|4|2|2|4|8|8
44|45|T|Menga|3|1|5|3|3|5|9|9
45|46|T|Menga|1|2|1|4|4|6|1|6
46|47|F|Pepet|2|3|2|5|5|7|2|4
47|48|T|Menga|3|4|3|6|6|8|3|10
48|49|F|Pepet|1|1|4|1|7|1|4|3
49|50|T|Menga|2|2|5|2|1|2|5|10
50|51|F|Pepet|3|3|1|3|2|3|6|5
51|52|T|Menga|1|4|2|4|3|4|7|10
52|53|F|Pepet|2|1|3|5|4|5|8|2
53|54|T|Menga|3|2|4|6|5|6|9|6
54|55|F|Pepet|1|3|5|1|6|7|1|2
55|56|T|Menga|2|4|1|2|7|8|2|9
56|57|T|Menga|3|1|2|3|1|1|3|8
57|58|T|Menga|1|2|3|4|2|2|4|9
58|59|F|Pepet|2|3|4|5|3|3|5|2
59|60|T|Menga|3|4|5|6|4|4|6|8
60|61|F|Pepet|1|1|1|1|5|5|7|3
61|62|F|Pepet|2|2|2|2|6|6|8|5
62|63|F|Pepet|3|3|3|3|7|7|9|5
63|64|F|Pepet|1|4|4|4|1|8|1|5
64|65|F|Pepet|2|1|5|5|2|1|2|7
65|66|T|Menga|3|2|1|6|3|2|3|8
66|67|T|Menga|1|3|2|1|4|3|4|1
67|68|T|Menga|2|4|3|2|5|4|5|8
68|69|T|Menga|3|1|4|3|6|5|6|1
69|70|T|Menga|1|2|5|4|7|6|7|1
70|71|T|Menga|2|3|1|5|1|7|8|1
71|72|F|Pepet|3|3|2|6|2|7|9|2
72|73|F|Pepet|1|4|3|1|3|8|1|3
73|74|F|Pepet|2|2|4|2|4|2|2|4
74|75|F|Pepet|3|3|5|3|5|3|3|5
75|76|F|Pepet|1|4|1|4|6|4|4|4
76|77|T|Menga|2|1|2|5|7|5|5|6
