POS|CAL_SHIFTED|LUANG|DWI|TRI|CAT|PAN|SAD|SAP|AST|SNG|DAS
0|1|F|1|1|3|1|1|1|3|1|1
1|2|T|2|2|4|2|2|2|4|2|4
2|3|F|1|3|1|3|3|3|5|3|1
3|4|T|2|1|2|4|4|4|6|4|2
4|5|F|1|2|3|5|5|5|7|5|7
5|6|T|2|3|4|1|6|6|8|6|2
6|7|F|1|1|1|2|1|7|1|7|9
7|8|F|1|2|2|3|2|1|2|8|3
8|9|F|1|3|3|4|3|2|3|9|9
9|10|T|2|1|4|5|4|3|4|1|2
10|11|F|1|2|1|1|5|4|5|2|3
11|12|T|2|3|2|2|6|5|6|3|8
12|13|T|2|1|3|3|1|6|7|4|4
13|14|T|2|2|4|4|2|7|8|5|4
14|15|T|2|3|1|5|3|1|1|6|4
15|16|T|2|1|2|1|4|2|2|7|0
16|17|F|1|2|3|2|5|3|3|8|3
17|18|F|1|3|4|3|6|4|4|9|5
18|19|F|1|1|1|4|1|5|5|1|3
19|20|F|1|2|2|5|2|6|6|2|5
20|21|F|1|3|3|1|3|7|7|3|5
21|22|F|1|1|4|2|4|1|8|4|5
22|23|T|2|2|1|3|5|2|1|5|2
23|24|T|2|3|2|4|6|3|2|6|8
24|25|T|2|1|3|5|1|4|3|7|6
25|26|T|2|2|4|1|2|5|4|8|4
26|27|T|2|3|1|2|3|6|5|9|6
27|28|F|1|1|2|3|4|7|6|1|7
28|29|T|2|2|3|4|5|1|7|2|0
29|30|F|1|3|4|5|6|2|8|3|3
30|31|F|1|1|1|1|1|3|1|4|9
31|32|F|1|2|2|2|2|4|2|5|7
32|33|T|2|3|3|3|3|5|3|6|6
33|34|F|1|1|4|4|4|6|4|7|1
34|35|T|2|2|1|5|5|7|5|8|8
35|36|F|1|3|2|1|6|1|6|9|1
36|37|T|2|1|3|2|1|2|7|1|4
37|38|F|1|2|4|3|2|3|8|2|1
38|39|T|2|3|1|4|3|4|1|3|2
39|40|F|1|1|2|5|4|5|2|4|7
40|41|T|2|2|3|1|5|6|3|5|2
41|42|F|1|3|4|2|6|7|4|6|9
42|43|F|1|1|1|3|1|1|5|7|3
43|44|F|1|2|2|4|2|2|6|8|9
44|45|T|2|3|3|5|3|3|7|9|2
45|46|F|1|1|4|1|4|4|8|1|3
46|47|T|2|2|1|2|5|5|1|2|8
47|48|T|2|3|2|3|6|6|2|3|4
48|49|T|2|1|3|4|1|7|3|4|4
49|50|T|2|2|4|5|2|1|4|5|4
50|51|T|2|3|1|1|3|2|5|6|0
51|52|F|1|1|2|2|4|3|6|7|3
52|53|F|1|2|3|3|5|4|7|8|5
53|54|F|1|3|4|4|6|5|8|9|3
54|55|F|1|1|1|5|1|6|1|1|5
55|56|F|1|2|2|1|2|7|2|2|5
56|57|F|1|3|3|2|3|1|3|3|5
57|58|T|2|1|4|3|4|2|4|4|2
58|59|T|2|2|1|4|5|3|5|5|8
59|60|T|2|3|2|5|6|4|6|6|6
60|61|T|2|1|3|1|1|5|7|7|4
61|62|T|2|2|4|2|2|6|8|8|6
62|63|F|1|3|1|3|3|7|1|9|7
63|64|T|2|1|2|4|4|1|2|1|0
64|65|F|1|2|3|5|5|2|3|2|3
65|66|F|1|3|4|1|6|3|4|3|9
66|67|F|1|1|1|2|1|4|5|4|7
67|68|T|2|2|2|3|2|5|6|5|6
68|69|F|1|3|3|4|3|6|7|6|1
69|70|T|2|1|4|5|4|7|8|7|8
70|71|F|1|2|1|1|5|1|1|8|1
71|72|T|2|3|2|2|6|2|2|9|4
72|73|F|1|1|3|3|1|3|3|1|1
73|74|T|2|2|4|4|2|4|4|2|2
74|75|F|1|3|1|5|3|5|5|3|7
75|76|T|2|1|2|1|4|6|6|4|2
76|77|F|1|2|3|2|5|7|7|5|9
77|78|F|1|3|4|3|6|1|8|6|3
78|79|F|1|1|1|4|1|2|1|7|9
79|80|T|2|2|2|5|2|3|2|8|2
80|81|F|1|3|3|1|3|4|3|9|3
81|82|T|2|1|4|2|4|5|4|1|8
82|83|T|2|2|1|3|5|6|5|2|4
83|84|T|2|3|2|4|6|7|6|3|4
84|85|T|2|1|3|5|1|1|7|4|4
85|86|T|2|2|4|1|2|2|8|5|0
86|87|F|1|3|1|2|3|3|1|6|3
87|88|F|1|1|2|3|4|4|2|7|5
88|89|F|1|2|3|4|5|5|3|8|3
89|90|F|1|3|4|5|6|6|4|9|5
90|91|F|1|1|1|1|1|7|5|1|5
91|92|F|1|2|2|2|2|1|6|2|5
92|93|T|2|3|3|3|3|2|7|3|2
93|94|T|2|1|4|4|4|3|8|4|8
94|95|T|2|2|1|5|5|4|1|5|6
95|96|T|2|3|2|1|6|5|2|6|4
96|97|T|2|1|3|2|1|6|3|7|6
97|98|F|1|2|4|3|2|7|4|8|7
98|99|T|2|3|1|4|3|1|5|9|0
