IDX|GREGORIAN|RD|CAL_POS|PAN|SAP|TRI|SAD|CAT|AST|SNG|DAS|DWI|LUANG
0|1981-08-23|723415|85|1|1|1|1|3|3|1|1|1|F
1|1981-08-24|723416|86|2|2|2|2|4|4|2|4|2|T
2|1981-08-25|723417|87|3|3|3|3|1|5|3|1|1|F
3|1981-08-26|723418|88|4|4|1|4|2|6|4|2|2|T
4|1981-08-27|723419|89|5|5|2|5|3|7|5|7|1|F
5|1981-08-28|723420|90|1|6|3|6|4|8|6|2|2|T
6|1981-08-29|723421|91|2|7|1|1|1|1|7|9|1|F
7|1981-08-30|723422|92|3|1|2|2|2|2|8|3|1|F
8|1981-08-31|723423|93|4|2|3|3|3|3|9|9|1|F
9|1981-09-01|723424|94|5|3|1|4|4|4|1|2|2|T
10|1981-09-02|723425|95|1|4|2|5|1|5|2|3|1|F
11|1981-09-03|723426|96|2|5|3|6|2|6|3|8|2|T
12|1981-09-04|723427|97|3|6|1|1|3|7|4|4|2|T
13|1981-09-05|723428|98|4|7|2|2|4|8|5|4|2|T
14|1981-09-06|723429|99|5|1|3|3|1|1|6|4|2|T
15|1981-09-07|723430|100|1|2|1|4|2|2|7|0|2|T
16|1981-09-08|723431|101|2|3|2|5|3|3|8|3|1|F
17|1981-09-09|723432|102|3|4|3|6|4|4|9|5|1|F
18|1981-09-10|723433|103|4|5|1|1|1|5|1|3|1|F
19|1981-09-11|723434|104|5|6|2|2|2|6|2|5|1|F
20|1981-09-12|723435|105|1|7|3|3|3|7|3|5|1|F
21|1981-09-13|723436|106|2|1|1|4|4|8|4|5|1|F
22|1981-09-14|723437|107|3|2|2|5|1|1|5|2|2|T
23|1981-09-15|723438|108|4|3|3|6|2|2|6|8|2|T
24|1981-09-16|723439|109|5|4|1|1|3|3|7|6|2|T
25|1981-09-17|723440|110|1|5|2|2|4|4|8|4|2|T
26|1981-09-18|723441|111|2|6|3|3|1|5|9|6|2|T
27|1981-09-19|723442|112|3|7|1|4|2|6|1|7|1|F
28|1981-09-20|723443|113|4|1|2|5|3|7|2|0|2|T
29|1981-09-21|723444|114|5|2|3|6|4|8|3|3|1|F
30|1981-09-22|723445|115|1|3|1|1|1|1|4|9|1|F
31|1981-09-23|723446|116|2|4|2|2|2|2|5|7|1|F
32|1981-09-24|723447|117|3|5|3|3|3|3|6|6|2|T
33|1981-09-25|723448|118|4|6|1|4|4|4|7|1|1|F
34|1981-09-26|723449|119|5|7|2|5|1|5|8|8|2|T
35|1981-09-27|723450|120|1|1|3|6|2|6|9|1|1|F
36|1981-09-28|723451|121|2|2|1|1|3|7|1|4|2|T
37|1981-09-29|723452|122|3|3|2|2|4|8|2|1|1|F
38|1981-09-30|723453|123|4|4|3|3|1|1|3|2|2|T
39|1981-10-01|723454|124|5|5|1|4|2|2|4|7|1|F
40|1981-10-02|723455|125|1|6|2|5|3|3|5|2|2|T
41|1981-10-03|723456|126|2|7|3|6|4|4|6|9|1|F
42|1981-10-04|723457|127|3|1|1|1|1|5|7|3|1|F
43|1981-10-05|723458|128|4|2|2|2|2|6|8|9|1|F
44|1981-10-06|723459|129|5|3|3|3|3|7|9|2|2|T
45|1981-10-07|723460|130|1|4|1|4|4|8|1|3|1|F
46|1981-10-08|723461|131|2|5|2|5|1|1|2|8|2|T
47|1981-10-09|723462|132|3|6|3|6|2|2|3|4|2|T
48|1981-10-10|723463|133|4|7|1|1|3|3|4|4|2|T
49|1981-10-11|723464|134|5|1|2|2|4|4|5|4|2|T
50|1981-10-12|723465|135|1|2|3|3|1|5|6|0|2|T
51|1981-10-13|723466|136|2|3|1|4|2|6|7|3|1|F
52|1981-10-14|723467|137|3|4|2|5|3|7|8|5|1|F
53|1981-10-15|723468|138|4|5|3|6|4|8|9|3|1|F
54|1981-10-16|723469|139|5|6|1|1|1|1|1|5|1|F
55|1981-10-17|723470|140|1|7|2|2|2|2|2|5|1|F
56|1981-10-18|723471|141|2|1|3|3|3|3|3|5|1|F
57|1981-10-19|723472|142|3|2|1|4|4|4|4|2|2|T
58|1981-10-20|723473|143|4|3|2|5|1|5|5|8|2|T
59|1981-10-21|723474|144|5|4|3|6|2|6|6|6|2|T
60|1981-10-22|723475|145|1|5|1|1|3|7|7|4|2|T
61|1981-10-23|723476|146|2|6|2|2|4|8|8|6|2|T
62|1981-10-24|723477|147|3|7|3|3|1|1|9|7|1|F
63|1981-10-25|723478|148|4|1|1|4|2|2|1|0|2|T
64|1981-10-26|723479|149|5|2|2|5|3|3|2|3|1|F
65|1981-10-27|723480|150|1|3|3|6|4|4|3|9|1|F
66|1981-10-28|723481|151|2|4|1|1|1|5|4|7|1|F
67|1981-10-29|723482|152|3|5|2|2|2|6|5|6|2|T
68|1981-10-30|723483|153|4|6|3|3|3|7|6|1|1|F
69|1981-10-31|723484|154|5|7|1|4|4|8|7|8|2|T
70|1981-11-01|723485|155|1|1|2|5|1|1|8|1|1|F
71|1981-11-02|723486|156|2|2|3|6|2|2|9|4|2|T
72|1981-11-03|723487|157|3|3|1|1|3|3|1|1|1|F
73|1981-11-04|723488|158|4|4|2|2|4|4|2|2|2|T
74|1981-11-05|723489|159|5|5|3|3|1|5|3|7|1|F
75|1981-11-06|723490|160|1|6|1|4|2|6|4|2|2|T
76|1981-11-07|723491|161|2|7|2|5|3|7|5|9|1|F
77|1981-11-08|723492|162|3|1|3|6|4|8|6|3|1|F
78|1981-11-09|723493|163|4|2|1|1|1|1|7|9|1|F
79|1981-11-10|723494|164|5|3|2|2|2|2|8|2|2|T
80|1981-11-11|723495|165|1|4|3|3|3|3|9|3|1|F
81|1981-11-12|723496|166|2|5|1|4|4|4|1|8|2|T
82|1981-11-13|723497|167|3|6|2|5|1|5|2|4|2|T
83|1981-11-14|723498|168|4|7|3|6|2|6|3|4|2|T
84|1981-11-15|723499|169|5|1|1|1|3|7|4|4|2|T
85|1981-11-16|723500|170|1|2|2|2|4|8|5|0|2|T
86|1981-11-17|723501|171|2|3|3|3|1|1|6|3|1|F
87|1981-11-18|723502|172|3|4|1|4|2|2|7|5|1|F
88|1981-11-19|723503|173|4|5|2|5|3|3|8|3|1|F
89|1981-11-20|723504|174|5|6|3|6|4|4|9|5|1|F
90|1981-11-21|723505|175|1|7|1|1|1|5|1|5|1|F
91|1981-11-22|723506|176|2|1|2|2|2|6|2|5|1|F
92|1981-11-23|723507|177|3|2|3|3|3|7|3|2|2|T
93|1981-11-24|723508|178|4|3|1|4|4|8|4|8|2|T
94|1981-11-25|723509|179|5|4|2|5|1|1|5|6|2|T
95|1981-11-26|723510|180|1|5|3|6|2|2|6|4|2|T
96|1981-11-27|723511|181|2|6|1|1|3|3|7|6|2|T
97|1981-11-28|723512|182|3|7|2|2|4|4|8|7|1|F
98|1981-11-29|723513|183|4|1|3|3|1|5|9|0|2|T
99|1981-11-30|723514|184|5|2|1|4|2|6|1|3|1|F
100|1981-12-01|723515|185|1|3|2|5|3|7|2|9|1|F
101|1981-12-02|723516|186|2|4|3|6|4|8|3|7|1|F
102|1981-12-03|723517|187|3|5|1|1|1|1|4|6|2|T
103|1981-12-04|723518|188|4|6|2|2|2|2|5|1|1|F
104|1981-12-05|723519|189|5|7|3|3|3|3|6|8|2|T
105|1981-12-06|723520|190|1|1|1|4|4|4|7|1|1|F
106|1981-12-07|723521|191|2|2|2|5|1|5|8|4|2|T
107|1981-12-08|723522|192|3|3|3|6|2|6|9|1|1|F
108|1981-12-09|723523|193|4|4|1|1|3|7|1|2|2|T
109|1981-12-10|723524|194|5|5|2|2|4|8|2|7|1|F
110|1981-12-11|723525|195|1|6|3|3|1|1|3|2|2|T
111|1981-12-12|723526|196|2|7|1|4|2|2|4|9|1|F
112|1981-12-13|723527|197|3|1|2|5|3|3|5|3|1|F
113|1981-12-14|723528|198|4|2|3|6|4|4|6|9|1|F
114|1981-12-15|723529|199|5|3|1|1|1|5|7|2|2|T
115|1981-12-16|723530|200|1|4|2|2|2|6|8|3|1|F
116|1981-12-17|723531|201|2|5|3|3|3|7|9|8|2|T
117|1981-12-18|723532|202|3|6|1|4|4|8|1|4|2|T
118|1981-12-19|723533|203|4|7|2|5|1|1|2|4|2|T
119|1981-12-20|723534|204|5|1|3|6|2|2|3|4|2|T
120|1981-12-21|723535|205|1|2|1|1|3|3|4|0|2|T
121|1981-12-22|723536|206|2|3|2|2|4|4|5|3|1|F
122|1981-12-23|723537|207|3|4|3|3|1|5|6|5|1|F
123|1981-12-24|723538|208|4|5|1|4|2|6|7|3|1|F
124|1981-12-25|723539|209|5|6|2|5|3|7|8|5|1|F
125|1981-12-26|723540|210|1|7|3|6|4|8|9|5|1|F
126|1981-12-27|723541|1|2|1|1|1|1|1|1|5|1|F
127|1981-12-28|723542|2|3|2|2|2|2|2|1|2|2|T
128|1981-12-29|723543|3|4|3|3|3|3|3|1|8|2|T
129|1981-12-30|723544|4|5|4|1|4|4|4|1|6|2|T
130|1981-12-31|723545|5|1|5|2|5|1|5|2|4|2|T
131|1982-01-01|723546|6|2|6|3|6|2|6|3|6|2|T
132|1982-01-02|723547|7|3|7|1|1|3|7|4|7|1|F
133|1982-01-03|723548|8|4|1|2|2|4|8|5|0|2|T
134|1982-01-04|723549|9|5|2|3|3|1|1|6|3|1|F
135|1982-01-05|723550|10|1|3|1|4|2|2|7|9|1|F
136|1982-01-06|723551|11|2|4|2|5|3|3|8|7|1|F
137|1982-01-07|723552|12|3|5|3|6|4|4|9|6|2|T
138|1982-01-08|723553|13|4|6|1|1|1|5|1|1|1|F
139|1982-01-09|723554|14|5|7|2|2|2|6|2|8|2|T
140|1982-01-10|723555|15|1|1|3|3|3|7|3|1|1|F
141|1982-01-11|723556|16|2|2|1|4|4|8|4|4|2|T
142|1982-01-12|723557|17|3|3|2|5|1|1|5|1|1|F
143|1982-01-13|723558|18|4|4|3|6|2|2|6|2|2|T
144|1982-01-14|723559|19|5|5|1|1|3|3|7|7|1|F
145|1982-01-15|723560|20|1|6|2|2|4|4|8|2|2|T
146|1982-01-16|723561|21|2|7|3|3|1|5|9|9|1|F
147|1982-01-17|723562|22|3|1|1|4|2|6|1|3|1|F
148|1982-01-18|723563|23|4|2|2|5|3|7|2|9|1|F
149|1982-01-19|723564|24|5|3|3|6|4|8|3|2|2|T
150|1982-01-20|723565|25|1|4|1|1|1|1|4|3|1|F
151|1982-01-21|723566|26|2|5|2|2|2|2|5|8|2|T
152|1982-01-22|723567|27|3|6|3|3|3|3|6|4|2|T
153|1982-01-23|723568|28|4|7|1|4|4|4|7|4|2|T
154|1982-01-24|723569|29|5|1|2|5|1|5|8|4|2|T
155|1982-01-25|723570|30|1|2|3|6|2|6|9|0|2|T
156|1982-01-26|723571|31|2|3|1|1|3|7|1|3|1|F
157|1982-01-27|723572|32|3|4|2|2|4|8|2|5|1|F
158|1982-01-28|723573|33|4|5|3|3|1|1|3|3|1|F
159|1982-01-29|723574|34|5|6|1|4|2|2|4|5|1|F
160|1982-01-30|723575|35|1|7|2|5|3|3|5|5|1|F
161|1982-01-31|723576|36|2|1|3|6|4|4|6|5|1|F
162|1982-02-01|723577|37|3|2|1|1|1|5|7|2|2|T
163|1982-02-02|723578|38|4|3|2|2|2|6|8|8|2|T
164|1982-02-03|723579|39|5|4|3|3|3|7|9|6|2|T
165|1982-02-04|723580|40|1|5|1|4|4|8|1|4|2|T
166|1982-02-05|723581|41|2|6|2|5|1|1|2|6|2|T
167|1982-02-06|723582|42|3|7|3|6|2|2|3|7|1|F
168|1982-02-07|723583|43|4|1|1|1|3|3|4|0|2|T
169|1982-02-08|723584|44|5|2|2|2|4|4|5|3|1|F
170|1982-02-09|723585|45|1|3|3|3|1|5|6|9|1|F
171|1982-02-10|723586|46|2|4|1|4|2|6|7|7|1|F
172|1982-02-11|723587|47|3|5|2|5|3|7|8|6|2|T
173|1982-02-12|723588|48|4|6|3|6|4|8|9|1|1|F
174|1982-02-13|723589|49|5|7|1|1|1|1|1|8|2|T
175|1982-02-14|723590|50|1|1|2|2|2|2|2|1|1|F
