# git_commit: 89304bcda945da516850c3ae8bf4cc2cc413abf4
# recorded_at: 2026-09-20T05:32:30Z
# name_columns_superseded_by: 21e5080 (PR #8, wuku-table-fix-20260919)
# schema: cycle_position|...|WUKU_NAME (column 13)
IDX|GREGORIAN|DEW_POS|WUKU_IDX|WUKU_NAME|PAN|SAP|TRI|SAD|CAT|AST|SNG|DAS|DWI|DEW_LUANG_PROXY
0|1981-08-23|1|1|Sinta|1|1|1|1|1|1|1|1|Menga|T
1|1981-08-24|2|1|Sinta|2|2|2|2|2|2|1|2|Pepet|F
2|1981-08-25|3|1|Sinta|3|3|3|3|3|3|1|3|Pepet|F
3|1981-08-26|4|1|Sinta|4|4|1|4|4|4|4|4|Pepet|F
4|1981-08-27|5|1|Sinta|5|5|2|5|1|5|5|5|Pepet|F
5|1981-08-28|6|1|Sinta|1|6|3|6|2|6|6|4|Pepet|F
6|1981-08-29|7|1|Sinta|2|7|1|1|3|7|7|6|Menga|T
7|1981-08-30|8|2|Landep|3|1|2|2|4|8|8|7|Pepet|F
8|1981-08-31|9|2|Landep|4|2|3|3|1|1|9|8|Menga|T
9|1981-09-01|10|2|Landep|5|3|1|4|2|2|1|9|Menga|T
10|1981-09-02|11|2|Landep|1|4|2|5|3|3|2|6|Menga|T
11|1981-09-03|12|2|Landep|2|5|3|6|4|4|3|4|Pepet|F
12|1981-09-04|13|2|Landep|3|6|1|1|1|5|4|10|Menga|T
13|1981-09-05|14|2|Landep|4|7|2|2|2|6|5|3|Pepet|F
14|1981-09-06|15|3|Ukir|5|1|3|3|3|7|6|10|Menga|T
15|1981-09-07|16|3|Ukir|1|2|1|4|4|8|7|5|Pepet|F
16|1981-09-08|17|3|Ukir|2|3|2|5|1|1|8|10|Menga|T
17|1981-09-09|18|3|Ukir|3|4|3|6|2|2|9|2|Pepet|F
18|1981-09-10|19|3|Ukir|4|5|1|1|3|3|1|6|Menga|T
19|1981-09-11|20|3|Ukir|5|6|2|2|4|4|2|2|Pepet|F
20|1981-09-12|21|3|Ukir|1|7|3|3|1|5|3|9|Menga|T
21|1981-09-13|22|4|Kulantir|2|1|1|4|2|6|4|8|Menga|T
22|1981-09-14|23|4|Kulantir|3|2|2|5|3|7|5|9|Menga|T
23|1981-09-15|24|4|Kulantir|4|3|3|6|4|8|6|2|Pepet|F
24|1981-09-16|25|4|Kulantir|5|4|1|1|1|1|7|8|Menga|T
25|1981-09-17|26|4|Kulantir|1|5|2|2|2|2|8|3|Pepet|F
26|1981-09-18|27|4|Kulantir|2|6|3|3|3|3|9|5|Pepet|F
27|1981-09-19|28|4|Kulantir|3|7|1|4|4|4|1|5|Pepet|F
28|1981-09-20|29|5|Taulu|4|1|2|5|1|5|2|5|Pepet|F
29|1981-09-21|30|5|Taulu|5|2|3|6|2|6|3|7|Pepet|F
30|1981-09-22|31|5|Taulu|1|3|1|1|3|7|4|8|Menga|T
31|1981-09-23|32|5|Taulu|2|4|2|2|4|8|5|1|Menga|T
32|1981-09-24|33|5|Taulu|3|5|3|3|1|1|6|8|Menga|T
33|1981-09-25|34|5|Taulu|4|6|1|4|2|2|7|1|Menga|T
34|1981-09-26|35|5|Taulu|5|7|2|5|3|3|8|1|Menga|T
35|1981-09-27|36|6|Gumbreg|1|1|3|6|4|4|9|1|Menga|T
36|1981-09-28|37|6|Gumbreg|2|2|1|1|1|5|1|2|Pepet|F
37|1981-09-29|38|6|Gumbreg|3|3|2|2|2|6|2|3|Pepet|F
